Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1742.8930910652168
FDW14,OUT017,1391.8226589453018
NCN55,OUT010,568.0773291380337
FDQ58,OUT017,2669.3332327144026
FDY38,OUT027,6031.924316604908
FDH56,OUT046,1870.7806020332991
FDL48,OUT018,625.6587139586718
FDC48,OUT027,2166.1204399057324
FDN33,OUT045,1543.1243590472466
FDA36,OUT017,3169.4632296219115
FDT44,OUT017,1931.1866066392079
FDQ56,OUT045,1355.2996427184135
NCC54,OUT019,655.9443708495455
FDU11,OUT049,2017.7441318334847
DRL59,OUT013,771.663203623951
FDM24,OUT049,2461.7798108198594
FDI57,OUT045,3407.3306254870777
DRC12,OUT018,2918.91765497223
NCM42,OUT027,2898.167459410123
FDA46,OUT010,502.91191764047426
FDA31,OUT013,2817.807417557351
NCJ31,OUT035,3943.266352015685
FDG52,OUT046,760.2138171028457
NCL19,OUT019,330.1928604970092
FDS10,OUT035,3144.9350216105286
FDX22,OUT010,619.2522394984817
NCF19,OUT035,791.463632785441
NCE06,OUT046,2584.2147040102313
DRC27,OUT046,3976.726673283416
FDE21,OUT035,1965.638561412016
NCR42,OUT019,35.09430965827278
FDX51,OUT018,3048.4810688016905
NCR06,OUT018,439.6316183169124
FDU31,OUT027,5731.879191637325
FDU59,OUT017,2703.8205159134295
FDR03,OUT027,5341.16041663437
FDS49,OUT027,2215.7016320295215
FDD48,OUT010,264.09323173832036
NCF18,OUT017,3209.6830568448377
NCD43,OUT027,2767.9326785583326
NCD54,OUT018,1992.2917909292603
FDY19,OUT010,273.93562427552615
NCY54,OUT017,2826.407618530053
NCL19,OUT018,2060.7723951900234
FDP23,OUT010,707.1398664558633
FDC26,OUT013,1814.0352992861287
FDR14,OUT010,140.41281554148532
NCS41,OUT035,3203.563792010403
FDF41,OUT035,3953.803823282087
FDU34,OUT046,2014.098415901819
DRH11,OUT046,896.2871670854938
FDM03,OUT013,1723.4741342503723
FDS31,OUT017,3130.0417022659367
FDJ20,OUT017,2041.0163042972129
FDV44,OUT027,5223.217568174117
FDG02,OUT049,2913.757146734513
FDA09,OUT013,3002.8506148437673
FDT04,OUT013,652.5559808425512
FDL58,OUT019,650.4478096805037
FDE52,OUT045,1445.6229556588253
FDW12,OUT035,2420.913501327589
FDL51,OUT017,3656.8936099665643
NCY42,OUT027,3592.9971165300617
FDR07,OUT017,1591.9584589242058
FDN40,OUT045,2413.665615350803
FDB35,OUT027,2447.422992234628
FDA22,OUT017,2798.4802715468245
NCL06,OUT046,4095.64056408505
FDI35,OUT013,3119.2674860638126
NCW42,OUT045,3649.5620970803066
NCX06,OUT049,3043.2409799153247
FDC37,OUT027,2809.9217996321113
FDZ14,OUT018,1762.8850090533533
DRG49,OUT049,3973.157821084884
NCG06,OUT045,3898.452140516586
DRC36,OUT045,2816.460514660029
FDV21,OUT019,309.9465714690782
FDB53,OUT046,2360.189420107449
DRP47,OUT019,523.668353689839
FDA14,OUT013,2350.421502147636
DRC24,OUT035,2614.5794666420225
FDW21,OUT018,1338.6706114972608
NCH29,OUT046,1535.8789008061397
FDU58,OUT013,3124.0794901220224
FDY27,OUT017,3092.488099365026
FDV56,OUT035,1869.0704042877283
FDT59,OUT046,3951.1741064754365
FDB23,OUT046,3386.148350362486
FDR49,OUT045,759.8698002341118
FDB03,OUT010,562.0025923898179
FDN39,OUT045,2703.2499313832377
FDX02,OUT027,5768.961937754993
FDQ16,OUT027,2858.6865989625308
FDU35,OUT018,1382.8585141207905
NCT29,OUT013,1978.5806852686073
FDZ27,OUT046,762.084864819127
FDN57,OUT017,2211.954553912258
FDA03,OUT018,2091.7162862978557
FDZ36,OUT045,3078.8572189436054
NCU05,OUT013,1257.721992320116
FDT39,OUT018,2117.3765124836164
FDK60,OUT017,1615.663180735824
FDZ25,OUT017,2911.8712215802125
FDG12,OUT046,2025.2977788338214
DRB01,OUT019,533.3531685998628
NCC43,OUT027,6068.288330775258
FDX13,OUT019,686.2404192521283
FDM22,OUT049,827.1263768601034
FDJ03,OUT027,1373.0971134749725
FDU14,OUT018,3495.116728275956
FDB33,OUT010,388.53972837911306
FDP27,OUT046,3176.3703635479505
FDO38,OUT010,198.6776984126543
FDE28,OUT027,5824.705936343838
FDO27,OUT035,1584.9113083635757
DRL23,OUT027,2793.849230199926
FDS28,OUT046,892.3604637571018
FDX24,OUT013,1425.6000794682232
FDZ02,OUT035,1585.4045700691988
FDL46,OUT045,1841.900114552367
FDS60,OUT027,4905.8476783901415
NCO06,OUT017,657.1739454072283
FDO16,OUT035,1452.1264357728928
FDC60,OUT049,1398.8237275165866
FDA48,OUT018,3419.283670842311
FDZ36,OUT027,5112.979718940664
FDK27,OUT045,1957.8100667133272
FDW23,OUT018,485.63891661602725
FDM14,OUT018,1470.391608946221
FDM14,OUT013,1701.7629996302558
FDW60,OUT018,2619.593134697855
FDE21,OUT013,1854.7464123063105
NCM42,OUT035,1808.9654650290422
FDY59,OUT010,202.56179724365825
DRI49,OUT049,1321.4699162705201
FDT28,OUT019,355.4333492572682
FDQ22,OUT018,446.35409207992984
FDR60,OUT049,1254.8173189983418
FDC50,OUT019,242.90735573631991
FDV24,OUT013,2444.904101731332
DRF48,OUT010,547.1709476466644
FDQ47,OUT046,696.4783313936507
DRN36,OUT049,1554.6334093135338
NCY06,OUT035,2116.635107352039
FDE52,OUT035,1518.3799086048452
NCB54,OUT045,2025.3090656783477
NCF31,OUT035,2491.572364798552
FDJ08,OUT027,5117.515084047844
NCC07,OUT017,1756.7332778939342
NCD19,OUT027,1433.3256418926699
FDL46,OUT049,1926.9364819793113
FDM20,OUT045,3964.5104132707493
NCI06,OUT010,470.88201128840524
DRM11,OUT035,4564.403513964313
NCH07,OUT018,2303.56418538345
FDS23,OUT013,2106.282020186017
FDO49,OUT018,679.2062121510448
FDS35,OUT049,1078.915191426184
DRK39,OUT045,1259.6373879165299
DRI39,OUT049,960.7287745667454
FDV04,OUT017,2577.592472891438
NCN14,OUT035,3261.2345665198063
FDH08,OUT013,4138.121347065844
FDS20,OUT046,3128.9732356804943
FDV40,OUT049,1195.484604167702
FDZ48,OUT010,276.3992219584943
FDS24,OUT027,2366.6439831585253
FDK44,OUT049,2834.4583098204726
FDS48,OUT045,2386.936496991152
FDK26,OUT010,530.1129823399915
FDD23,OUT045,3280.574810918043
NCH54,OUT017,2661.200957986509
NCP14,OUT010,250.77684384386953
FDM60,OUT010,65.55631774272524
FDV24,OUT017,2472.0148649736784
FDH08,OUT018,3477.0096701524617
FDS12,OUT027,3240.579120410569
FDR39,OUT027,4994.204966853049
FDP12,OUT027,1083.1419226008036
DRF60,OUT027,5952.820772197262
FDC09,OUT035,1723.0932975042253
FDF50,OUT018,3106.3237723580387
FDG28,OUT035,4052.575811574229
NCE19,OUT017,906.8277999999475
